Time: 9.1 s, Throughput: 9.09056 Mbps, cwnd: 26799 bytes 
Time: 9.2 s, Throughput: 9.04768 Mbps, cwnd: 28943 bytes 
Time: 9.3 s, Throughput: 9.09056 Mbps, cwnd: 31087 bytes 
Time: 9.4 s, Throughput: 9.09056 Mbps, cwnd: 32695 bytes 
Time: 9.5 s, Throughput: 9.09056 Mbps, cwnd: 34839 bytes 
Time: 9.6 s, Throughput: 8.31872 Mbps, cwnd: 19831 bytes 
Time: 9.7 s, Throughput: 8.06144 Mbps, cwnd: 22511 bytes 
Time: 9.8 s, Throughput: 8.61888 Mbps, cwnd: 25191 bytes 
Time: 9.9 s, Throughput: 9.04768 Mbps, cwnd: 27335 bytes 
Time: 10 s, Throughput: 9.09056 Mbps, cwnd: 29479 bytes 
Time: 10.1 s, Throughput: 9.09056 Mbps, cwnd: 31623 bytes 
Time: 10.2 s, Throughput: 9.09056 Mbps, cwnd: 33231 bytes 
Time: 10.3 s, Throughput: 8.31872 Mbps, cwnd: 35375 bytes 
Time: 10.4 s, Throughput: 8.74752 Mbps, cwnd: 20903 bytes 
Time: 10.5 s, Throughput: 8.10432 Mbps, cwnd: 23047 bytes 
Time: 10.6 s, Throughput: 8.87616 Mbps, cwnd: 25727 bytes 
Time: 10.7 s, Throughput: 9.09056 Mbps, cwnd: 27871 bytes 
Time: 10.8 s, Throughput: 9.09056 Mbps, cwnd: 30015 bytes 
Time: 10.9 s, Throughput: 9.09056 Mbps, cwnd: 32159 bytes 
Time: 11 s, Throughput: 9.09056 Mbps, cwnd: 33767 bytes 
Time: 11.1 s, Throughput: 9.09056 Mbps, cwnd: 30015 bytes 
Time: 11.2 s, Throughput: 7.7184 Mbps, cwnd: 21439 bytes 
Time: 11.3 s, Throughput: 8.23296 Mbps, cwnd: 23583 bytes 
Time: 11.4 s, Throughput: 9.0048 Mbps, cwnd: 26263 bytes 
Time: 11.5 s, Throughput: 9.09056 Mbps, cwnd: 28407 bytes 
Time: 11.6 s, Throughput: 9.09056 Mbps, cwnd: 30551 bytes 
Time: 11.7 s, Throughput: 9.09056 Mbps, cwnd: 32695 bytes 
Time: 11.8 s, Throughput: 9.09056 Mbps, cwnd: 34303 bytes 
Time: 11.9 s, Throughput: 8.66176 Mbps, cwnd: 19295 bytes 
Time: 12 s, Throughput: 7.7184 Mbps, cwnd: 21975 bytes 
Time: 12.1 s, Throughput: 8.61888 Mbps, cwnd: 24655 bytes 
Time: 12.2 s, Throughput: 9.04768 Mbps, cwnd: 26799 bytes 
Time: 12.3 s, Throughput: 9.09056 Mbps, cwnd: 28943 bytes 
Time: 12.4 s, Throughput: 9.09056 Mbps, cwnd: 31087 bytes 
Time: 12.5 s, Throughput: 9.09056 Mbps, cwnd: 33231 bytes 
Time: 12.6 s, Throughput: 9.04768 Mbps, cwnd: 34839 bytes 
Time: 12.7 s, Throughput: 8.31872 Mbps, cwnd: 20367 bytes 
Time: 12.8 s, Throughput: 7.9328 Mbps, cwnd: 22511 bytes 
Time: 12.9 s, Throughput: 8.74752 Mbps, cwnd: 25191 bytes 
Time: 13 s, Throughput: 9.09056 Mbps, cwnd: 27335 bytes 
Time: 13.1 s, Throughput: 9.09056 Mbps, cwnd: 29479 bytes 
Time: 13.2 s, Throughput: 9.04768 Mbps, cwnd: 31623 bytes 
Time: 13.3 s, Throughput: 9.09056 Mbps, cwnd: 33767 bytes 
Time: 13.4 s, Throughput: 7.504 Mbps, cwnd: 34661 bytes 
Time: 13.5 s, Throughput: 9.60512 Mbps, cwnd: 20903 bytes 
Time: 13.6 s, Throughput: 8.06144 Mbps, cwnd: 23583 bytes 
Time: 13.7 s, Throughput: 8.91904 Mbps, cwnd: 25727 bytes 
Time: 13.8 s, Throughput: 9.09056 Mbps, cwnd: 28407 bytes 
Time: 13.9 s, Throughput: 9.04768 Mbps, cwnd: 30015 bytes 
Time: 14 s, Throughput: 9.09056 Mbps, cwnd: 32159 bytes 
Time: 14.1 s, Throughput: 9.09056 Mbps, cwnd: 34303 bytes 
Time: 14.2 s, Throughput: 9.09056 Mbps, cwnd: 18759 bytes 
Time: 14.3 s, Throughput: 7.504 Mbps, cwnd: 21439 bytes 
Time: 14.4 s, Throughput: 8.49024 Mbps, cwnd: 24119 bytes 
Time: 14.5 s, Throughput: 8.96192 Mbps, cwnd: 26263 bytes 
Time: 14.6 s, Throughput: 9.09056 Mbps, cwnd: 28943 bytes 
Time: 14.7 s, Throughput: 9.09056 Mbps, cwnd: 31087 bytes 
Time: 14.8 s, Throughput: 9.09056 Mbps, cwnd: 32695 bytes 
Time: 14.9 s, Throughput: 9.09056 Mbps, cwnd: 34839 bytes 
Time: 15 s, Throughput: 8.66176 Mbps, cwnd: 19831 bytes 
Time: 15.1 s, Throughput: 7.7184 Mbps, cwnd: 22511 bytes 
Time: 15.2 s, Throughput: 8.576 Mbps, cwnd: 24655 bytes 
Time: 15.3 s, Throughput: 9.09056 Mbps, cwnd: 27335 bytes 
Time: 15.4 s, Throughput: 9.09056 Mbps, cwnd: 29479 bytes 
Time: 15.5 s, Throughput: 9.09056 Mbps, cwnd: 31623 bytes 
Time: 15.6 s, Throughput: 9.09056 Mbps, cwnd: 33231 bytes 
Time: 15.7 s, Throughput: 9.09056 Mbps, cwnd: 34839 bytes 
Time: 15.8 s, Throughput: 8.10432 Mbps, cwnd: 20367 bytes 
Time: 15.9 s, Throughput: 8.10432 Mbps, cwnd: 23047 bytes 
Time: 16 s, Throughput: 8.74752 Mbps, cwnd: 25191 bytes 
Time: 16.1 s, Throughput: 9.09056 Mbps, cwnd: 27871 bytes 
Time: 16.2 s, Throughput: 9.09056 Mbps, cwnd: 30015 bytes 
Time: 16.3 s, Throughput: 9.09056 Mbps, cwnd: 32159 bytes 
Time: 16.4 s, Throughput: 9.09056 Mbps, cwnd: 33767 bytes 
Time: 16.5 s, Throughput: 6.6464 Mbps, cwnd: 34865 bytes 
Time: 16.6 s, Throughput: 10.1626 Mbps, cwnd: 20903 bytes 
Time: 16.7 s, Throughput: 8.23296 Mbps, cwnd: 23583 bytes 
Time: 16.8 s, Throughput: 9.0048 Mbps, cwnd: 26263 bytes 
Time: 16.9 s, Throughput: 9.09056 Mbps, cwnd: 28407 bytes 
Time: 17 s, Throughput: 9.09056 Mbps, cwnd: 30551 bytes 
Time: 17.1 s, Throughput: 9.09056 Mbps, cwnd: 32695 bytes 
Time: 17.2 s, Throughput: 9.04768 Mbps, cwnd: 34303 bytes 
Time: 17.3 s, Throughput: 9.09056 Mbps, cwnd: 19295 bytes 
Time: 17.4 s, Throughput: 7.504 Mbps, cwnd: 21975 bytes 
Time: 17.5 s, Throughput: 8.40448 Mbps, cwnd: 24119 bytes 
Time: 17.6 s, Throughput: 9.09056 Mbps, cwnd: 26799 bytes 
Time: 17.7 s, Throughput: 9.09056 Mbps, cwnd: 28943 bytes 
Time: 17.8 s, Throughput: 9.09056 Mbps, cwnd: 31087 bytes 
Time: 17.9 s, Throughput: 9.04768 Mbps, cwnd: 32695 bytes 
Time: 18 s, Throughput: 9.09056 Mbps, cwnd: 34839 bytes 
Time: 18.1 s, Throughput: 8.31872 Mbps, cwnd: 19831 bytes 
Time: 18.2 s, Throughput: 8.06144 Mbps, cwnd: 22511 bytes 
Time: 18.3 s, Throughput: 8.61888 Mbps, cwnd: 25191 bytes 
Time: 18.4 s, Throughput: 9.09056 Mbps, cwnd: 27335 bytes 
Time: 18.5 s, Throughput: 9.09056 Mbps, cwnd: 29479 bytes 
Time: 18.6 s, Throughput: 9.04768 Mbps, cwnd: 31623 bytes 
Time: 18.7 s, Throughput: 9.09056 Mbps, cwnd: 33231 bytes 
Time: 18.8 s, Throughput: 8.31872 Mbps, cwnd: 35375 bytes 
Time: 18.9 s, Throughput: 8.7904 Mbps, cwnd: 20903 bytes 
Time: 19 s, Throughput: 8.06144 Mbps, cwnd: 23047 bytes 
Time: 19.1 s, Throughput: 8.91904 Mbps, cwnd: 25727 bytes 
Time: 19.2 s, Throughput: 9.04768 Mbps, cwnd: 27871 bytes 
Time: 19.3 s, Throughput: 9.09056 Mbps, cwnd: 30015 bytes 
