2.66827s	CWnd: 65188 KB
2.66921s	CWnd: 65192 KB
2.67016s	CWnd: 65196 KB
2.6711s	CWnd: 65200 KB
2.67204s	CWnd: 65204 KB
2.67299s	CWnd: 65208 KB
2.67393s	CWnd: 65212 KB
2.67488s	CWnd: 65216 KB
2.67582s	CWnd: 65220 KB
2.67676s	CWnd: 65224 KB
2.67771s	CWnd: 65228 KB
2.67865s	CWnd: 65232 KB
2.6796s	CWnd: 65236 KB
2.68054s	CWnd: 65240 KB
2.68148s	CWnd: 65244 KB
2.68243s	CWnd: 65248 KB
2.68337s	CWnd: 65252 KB
2.68432s	CWnd: 65256 KB
2.68526s	CWnd: 65260 KB
2.6862s	CWnd: 65264 KB
2.68715s	CWnd: 65268 KB
2.68809s	CWnd: 65272 KB
2.68904s	CWnd: 65276 KB
2.68998s	CWnd: 65280 KB
2.69092s	CWnd: 65284 KB
2.69187s	CWnd: 65288 KB
2.69281s	CWnd: 65292 KB
2.69376s	CWnd: 65296 KB
2.6947s	CWnd: 65300 KB
2.69564s	CWnd: 65304 KB
2.69659s	CWnd: 65308 KB
2.69753s	CWnd: 65312 KB
2.69848s	CWnd: 65316 KB
2.69942s	CWnd: 65320 KB
2.70036s	CWnd: 65324 KB
2.70131s	CWnd: 65328 KB
2.70225s	CWnd: 65332 KB
2.7032s	CWnd: 65336 KB
2.70414s	CWnd: 65340 KB
2.70508s	CWnd: 65344 KB
2.70603s	CWnd: 65348 KB
2.70697s	CWnd: 65352 KB
2.70792s	CWnd: 65356 KB
2.70886s	CWnd: 65360 KB
2.7098s	CWnd: 65364 KB
2.71075s	CWnd: 65368 KB
2.71169s	CWnd: 65372 KB
2.71264s	CWnd: 65376 KB
2.71358s	CWnd: 65380 KB
2.71452s	CWnd: 65384 KB
2.71547s	CWnd: 65388 KB
2.71641s	CWnd: 65392 KB
2.71736s	CWnd: 65396 KB
2.7183s	CWnd: 65400 KB
2.71924s	CWnd: 65404 KB
2.72019s	CWnd: 65408 KB
2.72113s	CWnd: 65412 KB
2.72208s	CWnd: 65416 KB
2.72302s	CWnd: 65420 KB
2.72396s	CWnd: 65424 KB
2.72491s	CWnd: 65428 KB
2.72585s	CWnd: 65432 KB
2.7268s	CWnd: 65436 KB
2.72774s	CWnd: 65440 KB
2.72868s	CWnd: 65444 KB
2.72963s	CWnd: 65448 KB
2.73057s	CWnd: 65452 KB
2.73152s	CWnd: 65456 KB
2.73246s	CWnd: 65460 KB
2.7334s	CWnd: 65464 KB
2.73435s	CWnd: 65468 KB
2.73529s	CWnd: 65472 KB
2.73624s	CWnd: 65476 KB
2.73718s	CWnd: 65480 KB
2.73812s	CWnd: 65484 KB
2.73907s	CWnd: 65488 KB
2.74001s	CWnd: 65492 KB
2.74096s	CWnd: 65496 KB
2.7419s	CWnd: 65500 KB
2.74284s	CWnd: 65504 KB
2.74379s	CWnd: 65508 KB
2.74473s	CWnd: 65512 KB
2.74568s	CWnd: 65516 KB
2.74662s	CWnd: 65520 KB
2.74756s	CWnd: 65524 KB
2.74851s	CWnd: 65528 KB
2.74945s	CWnd: 65532 KB
2.7504s	CWnd: 65536 KB
2.75134s	CWnd: 65540 KB
2.75228s	CWnd: 65544 KB
2.75323s	CWnd: 65548 KB
2.75417s	CWnd: 65552 KB
2.75512s	CWnd: 65556 KB
2.75606s	CWnd: 65560 KB
2.757s	CWnd: 65564 KB
2.75795s	CWnd: 65568 KB
2.75889s	CWnd: 65572 KB
2.75984s	CWnd: 65576 KB
2.76078s	CWnd: 65580 KB
2.76172s	CWnd: 65584 KB
2.76267s	CWnd: 65588 KB
2.76361s	CWnd: 65592 KB
2.76456s	CWnd: 65596 KB
2.7655s	CWnd: 65600 KB
2.76644s	CWnd: 65604 KB
2.76739s	CWnd: 65608 KB
2.76833s	CWnd: 65612 KB
2.76928s	CWnd: 65616 KB
2.77022s	CWnd: 65620 KB
2.77116s	CWnd: 65624 KB
2.77211s	CWnd: 65628 KB
2.77305s	CWnd: 65632 KB
2.774s	CWnd: 65636 KB
2.77494s	CWnd: 65640 KB
2.77588s	CWnd: 65644 KB
2.77683s	CWnd: 65648 KB
2.77777s	CWnd: 65652 KB
2.77872s	CWnd: 65656 KB
2.77966s	CWnd: 65660 KB
2.7806s	CWnd: 65664 KB
2.78155s	CWnd: 65668 KB
2.78249s	CWnd: 65672 KB
2.78344s	CWnd: 65676 KB
2.78438s	CWnd: 65680 KB
2.78532s	CWnd: 65684 KB
2.78627s	CWnd: 65688 KB
2.78721s	CWnd: 65692 KB
2.78816s	CWnd: 65696 KB
2.7891s	CWnd: 65700 KB
2.79004s	CWnd: 65704 KB
2.79099s	CWnd: 65708 KB
2.79193s	CWnd: 65712 KB
2.79288s	CWnd: 65716 KB
2.79382s	CWnd: 65720 KB
2.79476s	CWnd: 65724 KB
2.79571s	CWnd: 65728 KB
2.79665s	CWnd: 65732 KB
2.7976s	CWnd: 65736 KB
2.79854s	CWnd: 65740 KB
2.79948s	CWnd: 65744 KB
2.80043s	CWnd: 65748 KB
2.80137s	CWnd: 65752 KB
2.80232s	CWnd: 65756 KB
2.80326s	CWnd: 65760 KB
2.8042s	CWnd: 65764 KB
2.80515s	CWnd: 65768 KB
2.80609s	CWnd: 65772 KB
2.80704s	CWnd: 65776 KB
2.80798s	CWnd: 65780 KB
2.80892s	CWnd: 65784 KB
2.80987s	CWnd: 65788 KB
2.81081s	CWnd: 65792 KB
2.81176s	CWnd: 65796 KB
2.8127s	CWnd: 65800 KB
2.81364s	CWnd: 65804 KB
2.81459s	CWnd: 65808 KB
2.81553s	CWnd: 65812 KB
2.81648s	CWnd: 65816 KB
2.81742s	CWnd: 65820 KB
2.81836s	CWnd: 65824 KB
2.81931s	CWnd: 65828 KB
2.82025s	CWnd: 65832 KB
2.8212s	CWnd: 65836 KB
2.82214s	CWnd: 65840 KB
2.82308s	CWnd: 65844 KB
2.82403s	CWnd: 65848 KB
2.82497s	CWnd: 65852 KB
2.82592s	CWnd: 65856 KB
2.82686s	CWnd: 65860 KB
2.8278s	CWnd: 65864 KB
2.82875s	CWnd: 65868 KB
2.82969s	CWnd: 65872 KB
2.83064s	CWnd: 65876 KB
2.83158s	CWnd: 65880 KB
2.83252s	CWnd: 65884 KB
2.83347s	CWnd: 65888 KB
2.83441s	CWnd: 65892 KB
2.83536s	CWnd: 65896 KB
2.8363s	CWnd: 65900 KB
2.83724s	CWnd: 65904 KB
2.83819s	CWnd: 65908 KB
2.83913s	CWnd: 65912 KB
2.84008s	CWnd: 65916 KB
2.84102s	CWnd: 65920 KB
2.84196s	CWnd: 65924 KB
2.84291s	CWnd: 65928 KB
2.84385s	CWnd: 65932 KB
2.8448s	CWnd: 65936 KB
2.84574s	CWnd: 65940 KB
2.84668s	CWnd: 65944 KB
2.84763s	CWnd: 65948 KB
2.84857s	CWnd: 65952 KB
2.84952s	CWnd: 65956 KB
2.85046s	CWnd: 65960 KB
2.8514s	CWnd: 65964 KB
2.85235s	CWnd: 65968 KB
2.85329s	CWnd: 65972 KB
2.85424s	CWnd: 65976 KB
2.85518s	CWnd: 65980 KB
2.85612s	CWnd: 65984 KB
2.85707s	CWnd: 65988 KB
2.85801s	CWnd: 65992 KB
2.85896s	CWnd: 65996 KB
2.8599s	CWnd: 66000 KB
2.86084s	CWnd: 66004 KB
2.86179s	CWnd: 66008 KB
2.86273s	CWnd: 66012 KB
2.86368s	CWnd: 66016 KB
2.86462s	CWnd: 66020 KB
2.86556s	CWnd: 66024 KB
2.86651s	CWnd: 66028 KB
2.86745s	CWnd: 66032 KB
2.8684s	CWnd: 66036 KB
2.86934s	CWnd: 66040 KB
2.87028s	CWnd: 66044 KB
2.87123s	CWnd: 66048 KB
2.87217s	CWnd: 66052 KB
2.87312s	CWnd: 66056 KB
2.87406s	CWnd: 66060 KB
2.875s	CWnd: 66064 KB
2.87595s	CWnd: 66068 KB
2.87689s	CWnd: 66072 KB
2.87784s	CWnd: 66076 KB
2.87878s	CWnd: 66080 KB
2.87972s	CWnd: 66084 KB
2.88067s	CWnd: 66088 KB
2.88161s	CWnd: 66092 KB
2.88256s	CWnd: 66096 KB
2.8835s	CWnd: 66100 KB
2.88444s	CWnd: 66104 KB
2.88539s	CWnd: 66108 KB
2.88633s	CWnd: 66112 KB
2.88728s	CWnd: 66116 KB
2.88822s	CWnd: 66120 KB
2.88916s	CWnd: 66124 KB
2.89011s	CWnd: 66128 KB
2.89105s	CWnd: 66132 KB
2.892s	CWnd: 66136 KB
2.89294s	CWnd: 66140 KB
2.89388s	CWnd: 66144 KB
2.89483s	CWnd: 66148 KB
2.89577s	CWnd: 66152 KB
2.89672s	CWnd: 66156 KB
2.89766s	CWnd: 66160 KB
2.8986s	CWnd: 66164 KB
2.89955s	CWnd: 66168 KB
2.90049s	CWnd: 66172 KB
2.90144s	CWnd: 66176 KB
2.90238s	CWnd: 66180 KB
2.90332s	CWnd: 66184 KB
2.90427s	CWnd: 66188 KB
2.90521s	CWnd: 66192 KB
2.90616s	CWnd: 66196 KB
2.9071s	CWnd: 66200 KB
2.90804s	CWnd: 66204 KB
2.90899s	CWnd: 66208 KB
2.90993s	CWnd: 66212 KB
2.91088s	CWnd: 66216 KB
2.91182s	CWnd: 66220 KB
2.91276s	CWnd: 66224 KB
2.91371s	CWnd: 66228 KB
2.91465s	CWnd: 66232 KB
2.9156s	CWnd: 66236 KB
2.91654s	CWnd: 66240 KB
2.91748s	CWnd: 66244 KB
2.91843s	CWnd: 66248 KB
2.91937s	CWnd: 66252 KB
2.92032s	CWnd: 66256 KB
2.92126s	CWnd: 66260 KB
2.9222s	CWnd: 66264 KB
2.92315s	CWnd: 66268 KB
2.92409s	CWnd: 66272 KB
2.92504s	CWnd: 66276 KB
2.92598s	CWnd: 66280 KB
2.92692s	CWnd: 66284 KB
2.92787s	CWnd: 66288 KB
2.92881s	CWnd: 66292 KB
2.92976s	CWnd: 66296 KB
2.9307s	CWnd: 66300 KB
2.93164s	CWnd: 66304 KB
2.93259s	CWnd: 66308 KB
2.93353s	CWnd: 66312 KB
2.93448s	CWnd: 66316 KB
2.93542s	CWnd: 66320 KB
2.93636s	CWnd: 66324 KB
2.93731s	CWnd: 66328 KB
2.93825s	CWnd: 66332 KB
2.9392s	CWnd: 66336 KB
2.94014s	CWnd: 66340 KB
2.94108s	CWnd: 66344 KB
2.94203s	CWnd: 66348 KB
2.94297s	CWnd: 66352 KB
2.94392s	CWnd: 66356 KB
2.94486s	CWnd: 66360 KB
2.9458s	CWnd: 66364 KB
2.94675s	CWnd: 66368 KB
2.94769s	CWnd: 66372 KB
2.94864s	CWnd: 66376 KB
2.94958s	CWnd: 66380 KB
2.95052s	CWnd: 66384 KB
2.95147s	CWnd: 66388 KB
2.95241s	CWnd: 66392 KB
2.95336s	CWnd: 66396 KB
2.9543s	CWnd: 66400 KB
2.95524s	CWnd: 66404 KB
2.95619s	CWnd: 66408 KB
2.95713s	CWnd: 66412 KB
2.95808s	CWnd: 66416 KB
2.95902s	CWnd: 66420 KB
2.95996s	CWnd: 66424 KB
2.96091s	CWnd: 66428 KB
2.96185s	CWnd: 66432 KB
2.9628s	CWnd: 66436 KB
2.96374s	CWnd: 66440 KB
2.96468s	CWnd: 66444 KB
2.96563s	CWnd: 66448 KB
2.96657s	CWnd: 66452 KB
